 	641723
о	353138
е	279853
и	269386
а	233006
т	178612
с	175160
н	175071
в	157968
л	142066
р	129673
д	112751
м	99311
,	88622
у	84719
к	80781
п	80743
я	63714
г	61937
ы	61549
б	54500
з	51706
ь	50021
х	33564
ч	32552
й	31311
ж	29735
.	27984
ш	24761
ю	23400
И	22010
ц	14992
;	12296
щ	11855
:	11049
Г	10246
С	6598
М	6137
Б	5947
Е	5831
Т	5694
А	5552
ф	4826
В	4311
Н	4222
О	4160
<i>	3867
</i>	3867
&mdash;	3673
?	3375
П	3091
э	3034
Д	2785
К	2756
Я	2682
[	2448
]	2448
!	2186
»	1851
«	1851
Х	1846
Р	1015
Ф	984
‐	849
З	728
Л	696
У	643
Ц	507
ъ	454
Ш	420
Ч	402
Э	202
Ж	156
)	29
(	29
&nbsp;	25
Ю	20
Ь	7
Щ	6
&hellip;	2
Й	1
